_id,ANNO,COD_ATENEO,NOME_ATENEO,Reg_ATENEO,AREA_GEO,GENERE,COD_QUALIFICA,DESC_QUALIFICA,N_PERS
94,2020,1509,Milano-Bicocca - Università degli studi,Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,171
95,2020,1510,Rozzano (MI) Humanitas University,Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),10
96,2020,1510,Rozzano (MI) Humanitas University,Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,10
97,2020,1510,Rozzano (MI) Humanitas University,Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,21
98,2020,1510,Rozzano (MI) Humanitas University,Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),44
99,2020,1510,Rozzano (MI) Humanitas University,Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,24
100,2020,1510,Rozzano (MI) Humanitas University,Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,10
101,2020,1601,Bergamo - Università degli studi,Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),100
102,2020,1601,Bergamo - Università degli studi,Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,53
103,2020,1601,Bergamo - Università degli studi,Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,39
104,2020,1601,Bergamo - Università degli studi,Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),152
105,2020,1601,Bergamo - Università degli studi,Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,70
106,2020,1601,Bergamo - Università degli studi,Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,60
107,2020,1701,Brescia - Università degli studi,Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),129
108,2020,1701,Brescia - Università degli studi,Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,100
109,2020,1701,Brescia - Università degli studi,Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,60
110,2020,1701,Brescia - Università degli studi,Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),276
111,2020,1701,Brescia - Università degli studi,Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,106
112,2020,1701,Brescia - Università degli studi,Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,70
113,2020,1801,Pavia - Università degli studi,Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),221
114,2020,1801,Pavia - Università degli studi,Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,129
115,2020,1801,Pavia - Università degli studi,Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,136
116,2020,1801,Pavia - Università degli studi,Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),369
117,2020,1801,Pavia - Università degli studi,Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,174
118,2020,1801,Pavia - Università degli studi,Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,127
119,2020,1802,Pavia - Istituto universitario di studi superiori,Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),2
120,2020,1802,Pavia - Istituto universitario di studi superiori,Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,5
